config,held_out,val_macro_f1,temperature,elapsed_s,recall_argmax,hallucin_argmax,sp_f1_argmax,inter_conf_argmax,recall_vec,hallucin_vec,recall_pr,hallucin_pr
baseline,Adriatic_Sea,0.8638,1.326,41.6,0.6911,0.0202,0.8173,0.0202,0.69,0.0117,0.3832,0.0
baseline,DRYAD,0.8303,1.425,37.6,0.6564,0.2167,0.7925,0.2167,0.6262,0.2538,0.427,0.034
narrow_1layer,Adriatic_Sea,0.876,1.338,44.5,0.6146,0.0403,0.7613,0.0403,0.6412,0.0149,0.3227,0.0011
narrow_1layer,DRYAD,0.8823,1.518,90.9,0.5497,0.2219,0.7094,0.2219,0.6217,0.1982,0.4321,0.0631
narrow_2layer,Adriatic_Sea,0.8547,1.175,34.0,0.7197,0.0308,0.837,0.0308,0.7389,0.0159,0.4597,0.0011
narrow_2layer,DRYAD,0.8553,1.275,47.7,0.6553,0.1814,0.7918,0.1814,0.6519,0.204,0.4177,0.0398
deep_3layer,Adriatic_Sea,0.868,1.139,66.6,0.7261,0.0212,0.8413,0.0212,0.7505,0.0202,0.4374,0.0
deep_3layer,DRYAD,0.816,1.316,48.1,0.6996,0.189,0.8232,0.189,0.6903,0.2085,0.5484,0.059
baseline_bn,Adriatic_Sea,0.8746,1.232,56.9,0.69,0.0308,0.8166,0.0308,0.6985,0.018,0.3843,0.0021
baseline_bn,DRYAD,0.8484,1.358,70.5,0.6101,0.2394,0.7578,0.2394,0.6231,0.2651,0.43,0.0514
narrow_2layer_bn,Adriatic_Sea,0.8733,1.227,64.3,0.6359,0.017,0.7774,0.017,0.6529,0.0127,0.2452,0.0011
narrow_2layer_bn,DRYAD,0.849,1.406,90.0,0.5967,0.2771,0.7474,0.2771,0.5947,0.2936,0.4204,0.0693
baseline_lr5e4,Adriatic_Sea,0.8931,1.264,61.7,0.5414,0.0127,0.7025,0.0127,0.6263,0.0096,0.3429,0.0021
baseline_lr5e4,DRYAD,0.8277,1.238,36.7,0.6214,0.2181,0.7665,0.2181,0.6241,0.2435,0.4294,0.0367
baseline_cosine,Adriatic_Sea,0.8912,1.257,74.6,0.5849,0.035,0.7381,0.035,0.6635,0.0223,0.3556,0.0032
baseline_cosine,DRYAD,0.8636,1.309,53.6,0.5912,0.2373,0.7431,0.2373,0.594,0.2819,0.4218,0.0446
baseline_cosine5e4,Adriatic_Sea,0.9292,1.653,132.2,0.4034,0.0223,0.5749,0.0223,0.5669,0.018,0.2505,0.0021
baseline_cosine5e4,DRYAD,0.8442,1.332,39.2,0.6087,0.2473,0.7568,0.2473,0.6286,0.2675,0.38,0.0775
focal_g1,Adriatic_Sea,0.772,1.2,57.9,0.8769,0.018,0.9344,0.018,0.8493,0.0085,0.6507,0.0
focal_g1,DRYAD,0.7706,1.268,54.0,0.5682,0.3392,0.7247,0.3392,0.582,0.2747,0.3076,0.1039
focal_g2,Adriatic_Sea,0.6639,2.153,50.3,0.8726,0.0775,0.932,0.0775,0.7505,0.017,0.2675,0.0011
focal_g2,DRYAD,0.7719,1.956,88.0,0.6694,0.2298,0.802,0.2298,0.6749,0.2044,0.4228,0.061
bn_cosine,Adriatic_Sea,0.9269,1.574,129.4,0.4299,0.0361,0.6013,0.0361,0.535,0.0456,0.1486,0.0021
bn_cosine,DRYAD,0.9063,1.842,150.7,0.6087,0.1876,0.7568,0.1876,0.6567,0.2435,0.4691,0.1262
focal_g1_cosine,Adriatic_Sea,0.7744,1.173,38.5,0.8599,0.017,0.9247,0.017,0.7643,0.0648,0.6316,0.0032
focal_g1_cosine,DRYAD,0.8045,1.362,90.0,0.6396,0.2675,0.7802,0.2675,0.6512,0.2147,0.4335,0.0377
