level,held_out,n_train,n_val,n_test,n_classes_train,n_classes_test,val_macro_f1,argmax_macro_f1,argmax_macro_f1_full,argmax_weighted_f1,argmax_accuracy,argmax_balanced_acc,thresh_macro_f1,thresh_macro_f1_full,thresh_weighted_f1,thresh_accuracy,thresh_balanced_acc,delta_macro_f1,delta_balanced_acc,elapsed_s
L2-coarse,DOLPHINFREE,220540,23800,3290,4,2,0.9061862802596967,0.6987245597441649,0.34936227987208246,0.6957086295616209,0.6844984802431611,0.7486265745631857,0.8363335900335145,0.41816679501675724,0.8435413321483203,0.8340425531914893,0.8549309223892727,0.13760903028934957,0.106304347826087,25.68777322769165
L2-coarse,OLTREMARE,207847,22923,16860,4,2,0.898181027918873,0.8065390217259376,0.4032695108629688,0.8882358576667952,0.8866548042704626,0.8141379696282768,0.8203220630606065,0.41016103153030326,0.9038974550318022,0.9106761565836299,0.7811982582804518,0.0137830413346689,-0.03293971134782503,33.39107322692871
L2-coarse,FREMANTLE,223297,24001,332,4,1,0.9215219518867334,0.909688013136289,0.22742200328407225,0.9096880131362889,0.8343373493975904,0.8343373493975904,0.8100358422939068,0.2025089605734767,0.8100358422939068,0.6807228915662651,0.6807228915662651,-0.0996521708423822,-0.15361445783132532,40.64024066925049
L2-coarse,DRYAD,218499,22361,6770,4,2,0.913660271176546,0.7149517908330725,0.35747589541653624,0.7146198160306146,0.7010339734121123,0.7204723078226316,0.7713614740854347,0.3856807370427173,0.7749726242573823,0.7570162481536189,0.7624640246927817,0.056409683252362175,0.04199171687015013,63.488077878952026
L2-coarse,ECOSS_enhanced,219516,27946,168,4,2,0.9164762764104118,0.6361766485178464,0.3180883242589232,0.8892547460605537,0.8690476190476191,0.5765034965034965,0.6326306811258682,0.3163153405629341,0.8832181587146861,0.8571428571428571,0.5695104895104895,-0.003545967391978211,-0.006993006993006978,92.49965858459473
L2-coarse,DCLDE_2026,63694,9398,174538,4,2,0.7511378355872628,0.5022925152093807,0.25114625760469034,0.6735439509513883,0.599502687093928,0.5512767484180455,0.5207420116915162,0.2603710058457581,0.7044309058199985,0.6398492018929975,0.5585929853877869,0.018449496482135563,0.007316236969741374,10.570860147476196
L2-coarse,ALNITAK_CAVANILLES,216635,25793,5202,4,2,0.9010393796755696,0.5202819462545192,0.2601409731272596,0.7529663426574635,0.7702806612841215,0.5195971552238613,0.5168232106936603,0.25841160534683016,0.774908678051206,0.8223760092272203,0.5248842505316181,-0.00345873556085885,0.0052870953077568394,35.28497123718262
L2-coarse,Adriatic_Sea,222878,23572,1180,4,2,0.9177835123775591,0.7000889566653958,0.3500444783326979,0.7616530000796948,0.735593220338983,0.8234045210440863,0.4612653275834835,0.23063266379174174,0.48223899113013285,0.4635593220338983,0.6593025745329979,-0.23882362908191235,-0.16410194651108845,31.01549243927002
L2-coarse,WATKINS,218727,27026,1877,4,2,0.9148401955460486,0.46883575068600547,0.23441787534300274,0.6744041165968113,0.637187000532765,0.44296296296296295,0.4373699542238868,0.2186849771119434,0.6291416496560971,0.5599360681939265,0.38925925925925925,-0.03146579646211867,-0.0537037037037037,34.592222690582275
L2-coarse,MONISH,218880,28133,617,4,2,0.8609314630836693,0.42951127819548873,0.21475563909774437,0.818647103983622,0.7406807131280388,0.38860544217687076,0.38153846153846155,0.19076923076923077,0.7272110709387857,0.6029173419773096,0.3163265306122449,-0.047972816657027184,-0.07227891156462585,39.51289224624634
L2-coarse,ECOSS_annot,225249,21629,752,4,2,0.9208304146539793,0.19489247311827956,0.09744623655913978,0.2415422672157401,0.19281914893617022,0.1555793991416309,0.18885448916408668,0.09442724458204334,0.23405902114485208,0.1622340425531915,0.13090128755364808,-0.006037983954192888,-0.02467811158798283,44.08055901527405
L2-coarse,ECOSS_testtrain,191702,19884,36044,4,3,0.7570443872548243,0.0527663743973622,0.039574780798021646,0.00917019715881109,0.05776273443568971,0.586232220931398,0.06793862339302804,0.05095396754477103,0.00852966995724203,0.06206303406947065,0.5739095025692259,0.015172248995665848,-0.012322718362172136,23.851271390914917
