k,held_out,class,n_seed_used
4,OLTREMARE,Tursiops_truncatus,4
4,OLTREMARE,background,4
4,MONISH,Balaenoptera_physalus,4
4,MONISH,Globicephala_melas,4
4,MONISH,Grampus_griseus,4
4,MONISH,Orcinus_orca,4
4,MONISH,Tursiops_truncatus,4
4,FREMANTLE,Tursiops_truncatus,4
4,ECOSS_testtrain,Delphinus_delphis,4
4,ECOSS_testtrain,Globicephala_melas,4
4,ECOSS_testtrain,Orcinus_orca,4
4,ECOSS_testtrain,Physeter_macrocephalus,4
4,ECOSS_testtrain,Tursiops_truncatus,4
4,ECOSS_testtrain,background,4
4,ECOSS_enhanced,Delphinidae_unknown,4
4,ECOSS_enhanced,Orcinus_orca,4
4,ECOSS_enhanced,Physeter_macrocephalus,4
4,ECOSS_enhanced,Stenella_coeruleoalba,4
4,ECOSS_enhanced,Tursiops_truncatus,4
4,ECOSS_enhanced,background,4
4,ECOSS_annot,Delphinidae_unknown,4
4,ECOSS_annot,background,4
4,DRYAD,Tursiops_truncatus,4
4,DRYAD,background,4
4,DOLPHINFREE,Delphinus_delphis,4
4,DOLPHINFREE,background,4
4,DCLDE_2026,Orcinus_orca,4
4,DCLDE_2026,background,4
4,Adriatic_Sea,Tursiops_truncatus,4
4,Adriatic_Sea,background,4
4,ALNITAK_CAVANILLES,Globicephala_melas,4
4,ALNITAK_CAVANILLES,Grampus_griseus,4
4,ALNITAK_CAVANILLES,Physeter_macrocephalus,4
4,ALNITAK_CAVANILLES,Stenella_coeruleoalba,4
4,ALNITAK_CAVANILLES,Tursiops_truncatus,4
4,ALNITAK_CAVANILLES,background,4
16,OLTREMARE,Tursiops_truncatus,16
16,OLTREMARE,background,16
16,MONISH,Balaenoptera_physalus,16
16,MONISH,Globicephala_melas,16
16,MONISH,Grampus_griseus,16
16,MONISH,Orcinus_orca,16
16,MONISH,Tursiops_truncatus,16
16,FREMANTLE,Tursiops_truncatus,16
16,ECOSS_testtrain,Delphinus_delphis,16
16,ECOSS_testtrain,Globicephala_melas,16
16,ECOSS_testtrain,Orcinus_orca,16
16,ECOSS_testtrain,Physeter_macrocephalus,16
16,ECOSS_testtrain,Tursiops_truncatus,16
16,ECOSS_testtrain,background,16
16,ECOSS_enhanced,Delphinidae_unknown,16
16,ECOSS_enhanced,Stenella_coeruleoalba,16
16,ECOSS_enhanced,background,16
16,ECOSS_enhanced,Tursiops_truncatus,16
16,ECOSS_enhanced,Orcinus_orca,14
16,ECOSS_enhanced,Physeter_macrocephalus,14
16,ECOSS_annot,Delphinidae_unknown,16
16,ECOSS_annot,background,16
16,DRYAD,Tursiops_truncatus,16
16,DRYAD,background,16
16,DOLPHINFREE,Delphinus_delphis,16
16,DOLPHINFREE,background,16
16,DCLDE_2026,Orcinus_orca,16
16,DCLDE_2026,background,16
16,Adriatic_Sea,Tursiops_truncatus,16
16,Adriatic_Sea,background,16
16,ALNITAK_CAVANILLES,Globicephala_melas,16
16,ALNITAK_CAVANILLES,Grampus_griseus,16
16,ALNITAK_CAVANILLES,Physeter_macrocephalus,16
16,ALNITAK_CAVANILLES,Tursiops_truncatus,16
16,ALNITAK_CAVANILLES,background,16
16,ALNITAK_CAVANILLES,Stenella_coeruleoalba,14
32,OLTREMARE,Tursiops_truncatus,32
32,OLTREMARE,background,32
32,MONISH,Globicephala_melas,32
32,MONISH,Orcinus_orca,32
32,MONISH,Grampus_griseus,32
32,MONISH,Balaenoptera_physalus,28
32,MONISH,Tursiops_truncatus,27
32,FREMANTLE,Tursiops_truncatus,32
32,ECOSS_testtrain,Delphinus_delphis,32
32,ECOSS_testtrain,background,32
32,ECOSS_testtrain,Globicephala_melas,25
32,ECOSS_testtrain,Orcinus_orca,21
32,ECOSS_testtrain,Physeter_macrocephalus,19
32,ECOSS_testtrain,Tursiops_truncatus,18
32,ECOSS_enhanced,Delphinidae_unknown,32
32,ECOSS_enhanced,Stenella_coeruleoalba,32
32,ECOSS_enhanced,Tursiops_truncatus,26
32,ECOSS_enhanced,background,24
32,ECOSS_enhanced,Orcinus_orca,14
32,ECOSS_enhanced,Physeter_macrocephalus,14
32,ECOSS_annot,Delphinidae_unknown,32
32,ECOSS_annot,background,32
32,DRYAD,Tursiops_truncatus,32
32,DRYAD,background,32
32,DOLPHINFREE,Delphinus_delphis,32
32,DOLPHINFREE,background,32
32,DCLDE_2026,Orcinus_orca,32
32,DCLDE_2026,background,32
32,Adriatic_Sea,Tursiops_truncatus,32
32,Adriatic_Sea,background,32
32,ALNITAK_CAVANILLES,Globicephala_melas,32
32,ALNITAK_CAVANILLES,Grampus_griseus,32
32,ALNITAK_CAVANILLES,Physeter_macrocephalus,32
32,ALNITAK_CAVANILLES,Tursiops_truncatus,32
32,ALNITAK_CAVANILLES,background,32
32,ALNITAK_CAVANILLES,Stenella_coeruleoalba,14
