dataset,n_rows,n_classes,macro_f1,weighted_f1,accuracy
ECOSS_annot,343,2,0.980895242559175,0.984948889060462,0.9708454810495627
MONISH,71,5,0.944852734922861,0.9578254943405171,0.9577464788732394
WATKINS,215,9,0.8975556270099171,0.9330538000594621,0.9302325581395349
ECOSS_enhanced,41,6,0.7727272727272728,0.7937915742793792,0.7317073170731707
DCLDE_2026,38855,2,0.7716679010451908,0.8817915515795455,0.864007206279758
ECOSS_testtrain,5644,6,0.7706018848021988,0.9928683957883335,0.989900779588944
DOLPHINFREE,547,2,0.7270789637390243,0.7294094893023035,0.7221206581352834
DRYAD,1642,2,0.710616331564971,0.7103468952190222,0.7271619975639464
OLTREMARE,2640,2,0.7090912357369675,0.7912900769110245,0.7643939393939394
FREMANTLE,332,1,0.5406593406593406,0.5406593406593406,0.3704819277108434
ALNITAK_CAVANILLES,637,5,0.2045929093338918,0.4728643178893909,0.3987441130298273
