class,n,silhouette
graGri_clicks,45,0.5233684182167053
gloMel_clicks+gloMel_whistles,20,0.49079570174217224
delphi_clicks,304,0.23698072135448456
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.23380343616008759
delphi_whistles,3,0.06404121965169907
gloMel_whistles,32,-0.2861136198043823
gloMel_clicks+turTru_clicks,106,-0.30469179153442383
steCoe_clicks,15,-0.3536970913410187
gloMel_clicks,89,-0.3672315180301666
turTru_clicks,58,-0.4327099025249481
phyMac_clicks,179,-0.44442808628082275
background,4348,-0.5591199994087219
