classifier,variant,macro_f1,weighted_f1,ovr_auc,test_acc,train_acc,time_seconds
Logistic Regression,signal_species,0.7297345965550445,0.6703474540036304,0.9510843280011436,0.6740196078431373,1.0,3.2678191661834717
Decision Tree,signal_species,0.41930274312181864,0.47688381167330884,0.7062720192416003,0.4877450980392157,0.8107255520504731,1.4897263050079346
Random Forest,signal_species,0.46795232568236267,0.561140716481327,0.9425818896465916,0.5661764705882353,1.0,1.2096450328826904
SVM (RBF),signal_species,0.6648391413932673,0.5565494136821458,0.9468028641524476,0.6127450980392157,0.7150368033648791,4.186214447021484
PyTorch MLP (128) drop=0.4,signal_species,0.704777480203012,0.614619052087763,0.9493251630388967,0.6446078431372549,0.8415841460227966,2.8940048217773438
PyTorch MLP (64) drop=0.4,signal_species,0.716813847366317,0.6237219851683101,0.9496715321865391,0.6470588235294118,0.8254950642585754,3.9297614097595215
"PyTorch MLP (256, 128) drop=0.5",signal_species,0.6997314511032592,0.5726739425045934,0.9472044618619858,0.6274509803921569,0.771039605140686,2.964885711669922
Logistic Regression,species_only,0.7324515478173459,0.6608747881208814,0.9401847791073942,0.6642156862745098,1.0,1.0164008140563965
Decision Tree,species_only,0.48423230856596094,0.48663994486496764,0.7083028526885549,0.49264705882352944,0.8496319663512093,1.5286002159118652
Random Forest,species_only,0.5726650403192819,0.5980375548843608,0.9352250275159766,0.6004901960784313,1.0,1.212540626525879
SVM (RBF),species_only,0.6965642835727813,0.5834856914738471,0.9368437834482339,0.6397058823529411,0.7318611987381703,3.7860114574432373
PyTorch MLP (128) drop=0.4,species_only,0.6925290717071512,0.5981849101077592,0.9393160338761672,0.6397058823529411,0.8044554591178894,1.5666711330413818
PyTorch MLP (64) drop=0.4,species_only,0.7274120614390238,0.6353123157056146,0.9439383044179599,0.6666666666666666,0.8428217768669128,3.2526564598083496
"PyTorch MLP (256, 128) drop=0.5",species_only,0.7182497861068708,0.6209585176127246,0.9407164673763696,0.6617647058823529,0.7821782231330872,2.5869545936584473
