n_shots,classifier,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,roc_auc_mean,roc_auc_std,time_mean,time_std
4,Decision Tree,0.6310786106032907,0.10322807119699846,0.5774744630428063,0.12114156253652299,0.5905823357542025,0.11314495827886915,0.018513989448547364,0.00203752898681656
4,Logistic Regression,0.8321145642900671,0.04386933734290303,0.8103316310369275,0.0665409367288591,0.910280029973314,0.027511707868005553,0.06166224479675293,0.004118656343465376
4,Nearest Centroid,0.846252285191956,0.020669327270440314,0.8339578724009751,0.02307574602860401,0.8884216640906223,0.014947420955852416,0.2093456506729126,0.00703451807187632
4,Random Forest,0.7916819012797075,0.061246605589986784,0.7313072264814375,0.11728840945351966,0.9011891116015918,0.027540280657324223,1.2165884256362915,0.04910245057584788
4,SVM (RBF),0.7432053625837904,0.05780233390074744,0.632705931773782,0.13234182489753052,0.6636580510403884,0.3855331657109091,0.08871831893920898,0.004480199334754172
16,Decision Tree,0.774401473296501,0.043954041023809544,0.7487031788978002,0.0426857470360994,0.7457057907862348,0.039557317168077186,0.028060483932495116,0.0014941327903855504
16,Logistic Regression,0.8584100675260895,0.011655562121545308,0.8472784207927866,0.013940152579694247,0.9289232708290432,0.009946977939931774,0.06976010799407958,0.010735566328518692
16,Nearest Centroid,0.8705954573357888,0.006156103933560541,0.8623211581954842,0.006387592614336473,0.9151687499818731,0.007385914701167979,0.21232829093933106,0.007647151517116257
16,Random Forest,0.856292203806016,0.01672096575267088,0.8377776825204177,0.023341139459729866,0.9361089784677368,0.006665928028316163,1.2513937950134277,0.054916500240489136
16,SVM (RBF),0.8534069981583794,0.015075147769411327,0.8359826506612642,0.021260140454174868,0.9303955060220647,0.009591242719574265,0.17918679714202881,0.005470274332272645
32,Decision Tree,0.7847799132052077,0.03386862645620217,0.7625701349238383,0.03362148969092861,0.7621275159050497,0.03183445228693904,0.05503582954406738,0.004292659601716811
32,Logistic Regression,0.8680719156850589,0.011831926871399038,0.8575541613453433,0.013957472137131796,0.9350368723336647,0.009411346311888627,0.06712687015533447,0.002059876572219528
32,Nearest Centroid,0.8784562926224426,0.0053500111800862575,0.8706812681070568,0.006346983746585576,0.9218131587665388,0.004311975775172263,0.2059699058532715,0.006954798112391026
32,Random Forest,0.86478611283323,0.00663839643287789,0.8495508371879513,0.010188655504815562,0.9401770683325559,0.0035218219554238104,1.206736397743225,0.030809489931731163
32,SVM (RBF),0.869590824550527,0.011379174747158393,0.8575360207090545,0.013842483537406901,0.9377888811701791,0.005098452261300759,0.2839444637298584,0.010888870936118572
64,Decision Tree,0.8033206831119545,0.017135907937603705,0.7835282094930018,0.018896490093147658,0.7836629146254814,0.01948330314005987,0.10644009113311767,0.014740801161339356
64,Logistic Regression,0.873908918406072,0.008852707411516173,0.8644795239456039,0.009019353973412254,0.9387927329040886,0.007087749529234491,0.06801054477691651,0.007286648090940841
64,Nearest Centroid,0.8788108791903859,0.0031265076094716135,0.8711764819251331,0.0035518753039117195,0.9219541483995715,0.0023408825950952603,0.19810070991516113,0.005302518041079518
64,Random Forest,0.8743833017077799,0.003666382478479298,0.8623450932979285,0.004979831089792141,0.9440842768430059,0.002330552123580385,1.20278799533844,0.03603350863762609
64,SVM (RBF),0.8814358001265022,0.004259873221378895,0.8728646776995079,0.005324545688927219,0.9450634957995764,0.0026748704119915158,0.5128617286682129,0.02356376190349702
128,Decision Tree,0.8181278839815425,0.012950955789071213,0.7997555106709772,0.013951387100950932,0.7994740972974935,0.013963407956736137,0.23102061748504638,0.021497487006937415
128,Logistic Regression,0.8747857613711272,0.00554676245814077,0.8649250686890525,0.006421235183692261,0.9405392210487195,0.0035720427500067118,0.07400562763214111,0.005207706159503078
128,Nearest Centroid,0.8787409360580092,0.0029169361589736695,0.8710472255196959,0.0031857283742257577,0.9220998082979793,0.002319817004865108,0.1919332981109619,0.005460352157027203
128,Random Forest,0.8772247857613712,0.0036710688742262426,0.8658723368229999,0.0039137609381349695,0.9461499565529559,0.0023144378544085087,1.0092382192611695,0.0438671663576083
128,SVM (RBF),0.8858932102834542,0.004074827724833205,0.8783992350193298,0.00426130428253447,0.9493701969997416,0.002259105833027261,0.9115423202514649,0.040502104413469055
256,Decision Tree,0.8268178545716343,0.011375001391948643,0.8102778686173295,0.014118765635731171,0.8086684577712147,0.01538050883483538,0.5218957185745239,0.02224457198611759
256,Logistic Regression,0.8742620590352772,0.006045063516561166,0.8637090393185666,0.00656495961708117,0.9396055048538212,0.004354342500103924,0.08684871196746827,0.008027418264087578
256,Nearest Centroid,0.8796616270698344,0.0029975994138865016,0.8719280634381551,0.003295589287788735,0.9232721245961324,0.0017133764531652022,0.17622547149658202,0.007821406305903599
256,Random Forest,0.8834773218142548,0.003342761146141516,0.8727318323260886,0.004148326393590206,0.949056165033908,0.0010268008489881099,0.9113670110702514,0.06057031572446114
256,SVM (RBF),0.8934125269978402,0.005052294105504821,0.886482935427291,0.005075777828135715,0.9537054092763182,0.0017786485126680713,1.5604954957962036,0.02190127083137701
512,Decision Tree,0.8417034421888792,0.010523815444899599,0.8286024093590758,0.01177537507006048,0.8202604830530543,0.014634979169115336,1.2118601322174072,0.1276250721062643
512,Logistic Regression,0.8751103265666373,0.004693455761560422,0.8644020963671333,0.004873174308342835,0.9411705247865356,0.0016473143154714799,0.10821297168731689,0.003919985947182642
512,Nearest Centroid,0.8810679611650485,0.0036819626392420946,0.8734430440581586,0.003712037168350947,0.9239645008428929,0.0029523609528349665,0.14005529880523682,0.010085280862057785
512,Random Forest,0.8890556045895852,0.0031768602498836443,0.8789919624055168,0.003572236256553565,0.9523879397776955,0.0025404638975043423,0.904390835762024,0.06832905295537872
512,SVM (RBF),0.8968225948808474,0.004761201750842419,0.8903506789697238,0.004698460394069047,0.9576895566931183,0.0016833673436770634,2.972163772583008,0.13973880412398357
805,Decision Tree,0.8514880952380952,0.00929050378447869,0.8396716864078797,0.010040257823191592,0.8213116299948098,0.02149224846547182,2.2734929800033568,0.20779718453640028
805,Logistic Regression,0.8761904761904763,0.005151093248312361,0.8652318529724718,0.005554695926173626,0.9438283891139371,0.0025947584129774478,0.13322486877441406,0.014484981627754318
805,Nearest Centroid,0.880595238095238,0.006199880930918822,0.8729341485085833,0.0064513772237454,0.9242683422928314,0.004459005820059526,0.08320598602294922,0.0068222587221825415
805,Random Forest,0.8926785714285714,0.004018040854118686,0.8829074607465351,0.00425853050730088,0.9553010406941495,0.003980687021099207,1.0730700731277465,0.07217989083051954
805,SVM (RBF),0.8998809523809523,0.00571483683409357,0.893468336756929,0.005816147382012,0.961263639920136,0.002740357651629424,4.701372122764587,0.20730269581619346
