held_out,n_train,n_test,val_macro_f1,test_macro_f1 (test-only),test_macro_f1 (full vocab),test_accuracy,test_balanced_acc,sp_n_rows,sp_n_classes,sp_macro_f1,sp_frac_routed_to_bg
OLTREMARE,—,292,0.8373753015094507,1.0,0.1,1.0,1.0,292,1,1.0,0.0
Adriatic_Sea,—,458,0.9744584580113578,0.9978902953586498,0.19957805907172996,0.9956331877729258,0.9957983193277311,220,1,1.0,0.0
DRYAD,—,219,0.814233869149778,0.9977116704805492,0.09977116704805492,0.9954337899543378,0.9954337899543378,219,1,0.9977116704805492,0.0
ECOSS_annot,—,752,0.8919483249161058,0.9740406320541761,0.19480812641083523,0.9388297872340425,0.9506437768240343,466,1,0.9480812641083521,0.0
ECOSS_enhanced,—,168,0.8569878338897663,0.9054182586126291,0.5432509551675775,0.8214285714285714,0.8701587301587302,143,5,0.9038932146829811,0.0
DCLDE_2026,—,1787,0.9357099906195424,0.8049989786633489,0.1609997957326698,0.7078903189703414,0.7067186521357885,887,1,0.7060539752005836,0.05186020293122886
MONISH,—,617,0.8341722995431674,0.7809660040980542,0.3904830020490271,0.3565640194489465,0.735610126228851,617,5,0.7809660040980542,0.0
ECOSS_testtrain,—,1867,0.9294502415597623,0.7776204526609712,0.46657227159658277,0.11408677021960364,0.735632183908046,127,5,0.9091575091575091,0.0
ALNITAK_CAVANILLES,—,2599,0.8388115429629428,0.7415848372476826,0.5191093860733779,0.8541746825702193,0.7018393754703105,745,6,0.7207412217040959,0.18389261744966443
DOLPHINFREE,—,1150,0.8409457077682214,0.0017376194613379669,0.0001737619461337967,0.0008695652173913044,0.0008695652173913044,1150,1,0.0017376194613379669,0.17478260869565218
