held_out,n_test,n_test_classes,val_macro_f1,test_macro_f1 (test-only),test_macro_f1 (full vocab),test_accuracy,test_balanced_acc
MONISH,617,5,0.9610670844116443,0.9876005547850208,0.5486669748805671,0.993517017828201,0.9783783783783784
ECOSS_testtrain,127,5,0.9754728488244339,0.9241379310344827,0.5134099616858238,0.8267716535433071,0.89
ALNITAK_CAVANILLES,745,6,0.997392290249433,0.8255887822165301,0.5503925214776868,0.8711409395973154,0.8630979736819827
