n_test,n_pos,pct_pos,test_auc,test_ap,test_f1,precision,recall,threshold,held_out,variant
4406,58,1.3163867453472538,0.5463272848396409,0.014716256681097521,0.4792395665129596,0.005376344086021506,0.034482758620689655,0.7999999999999999,ALNITAK_CAVANILLES,v01_grl_distil__ALNITAK_CAVANILLES
4406,58,1.3163867453472538,0.397931668940139,0.010842110841394411,0.4806996877449172,0.0031746031746031746,0.017241379310344827,0.95,ALNITAK_CAVANILLES,v03_no_grl__ALNITAK_CAVANILLES
1180,942,79.83050847457626,0.8539536833841818,0.9597026069417482,0.726129770073432,0.9207683073229291,0.8142250530785563,0.2,Adriatic_Sea,v01_grl_distil__Adriatic_Sea
1180,942,79.83050847457626,0.8830309193741191,0.9682097027550347,0.7786649607480769,0.9402810304449649,0.8524416135881104,0.22499999999999998,Adriatic_Sea,v03_no_grl__Adriatic_Sea
6770,2916,43.07237813884785,0.7948633792550166,0.8054384493801918,0.75966202668697,0.7801564429806505,0.6498628257887518,0.9249999999999999,DRYAD,v01_grl_distil__DRYAD
6770,2916,43.07237813884785,0.8253480252821966,0.8436528938246334,0.7759230401734306,0.8662451361867705,0.6107681755829903,0.9,DRYAD,v03_no_grl__DRYAD
16860,2904,17.22419928825623,0.8857851752892009,0.7755578565151309,0.8339501691739553,0.8156400174748799,0.6429063360881543,0.95,OLTREMARE,v01_grl_distil__OLTREMARE
16860,2904,17.22419928825623,0.8696935992063209,0.7787899625360011,0.8380695442836648,0.8474654377880184,0.6332644628099173,0.95,OLTREMARE,v03_no_grl__OLTREMARE
4406,58,1.3163867453472538,0.7106636424198205,0.025915403116651015,0.5147421056016463,0.038461538461538464,0.15517241379310345,0.49999999999999994,ALNITAK_CAVANILLES,perch_baseline__ALNITAK_CAVANILLES
1180,942,79.83050847457626,0.669048511124195,0.8988784835185933,0.5603323889140345,0.8655834564254062,0.6220806794055201,0.125,Adriatic_Sea,perch_baseline__Adriatic_Sea
6770,2916,43.07237813884785,0.823710183352162,0.8368866423496923,0.7723407942879446,0.8450374531835206,0.6189986282578875,0.9,DRYAD,perch_baseline__DRYAD
16860,2904,17.22419928825623,0.8483743575834954,0.7547989477237844,0.8346874651810585,0.8568702290076335,0.6184573002754821,0.95,OLTREMARE,perch_baseline__OLTREMARE
